OTHER,T_NAMEC,CC_NAMEC,JUDGE_NAMEC,TTAS_DEGREE,NHI_DEGREE
A090501,A09皮膚系統,A0905腫塊、長繭等,中度呼吸窘迫(＜92%),2,2
A090502,A09皮膚系統,A0905腫塊、長繭等,血行動力循環不足,2,2
A090507,A09皮膚系統,A0905腫塊、長繭等,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A090511,A09皮膚系統,A0905腫塊、長繭等,急性周邊中度疼痛(4-7),4,4
A090509,A09皮膚系統,A0905腫塊、長繭等,急性周邊重度疼痛(8-10),3,3
A090512,A09皮膚系統,A0905腫塊、長繭等,急性周邊輕度疼痛(＜4),5,5
A090504,A09皮膚系統,A0905腫塊、長繭等,發燒(免疫功能缺陷),2,2
A090508,A09皮膚系統,A0905腫塊、長繭等,發燒(看起來有病容),3,3
A090510,A09皮膚系統,A0905腫塊、長繭等,發燒(看起來無病容),4,4
A090505,A09皮膚系統,A0905腫塊、長繭等,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A090503,A09皮膚系統,A0905腫塊、長繭等,意識程度改變(GCS9-13),2,2
A090513,A09皮膚系統,A0905腫塊、長繭等,腫塊、長繭等，生命徵象正常，無發燒，無疼痛不適,5,5
A090506,A09皮膚系統,A0905腫塊、長繭等,輕度呼吸窘迫(92-94%),3,3
A090601,A09皮膚系統,A0906乳房紅腫,中度呼吸窘迫(＜92%),2,2
A090602,A09皮膚系統,A0906乳房紅腫,血行動力循環不足,2,2
A090607,A09皮膚系統,A0906乳房紅腫,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A090613,A09皮膚系統,A0906乳房紅腫,乳房紅腫，生命徵象正常，無發燒，無疼痛不適,5,5
A090611,A09皮膚系統,A0906乳房紅腫,急性周邊中度疼痛(4-7),4,4
A090609,A09皮膚系統,A0906乳房紅腫,急性周邊重度疼痛(8-10),3,3
A090612,A09皮膚系統,A0906乳房紅腫,急性周邊輕度疼痛(＜4),5,5
A090604,A09皮膚系統,A0906乳房紅腫,發燒(免疫功能缺陷),2,2
A090608,A09皮膚系統,A0906乳房紅腫,發燒(看起來有病容),3,3
A090610,A09皮膚系統,A0906乳房紅腫,發燒(看起來無病容),4,4
A090605,A09皮膚系統,A0906乳房紅腫,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A090603,A09皮膚系統,A0906乳房紅腫,意識程度改變(GCS9-13),2,2
A090606,A09皮膚系統,A0906乳房紅腫,輕度呼吸窘迫(92-94%),3,3
A090702,A09皮膚系統,A0907疑似傳染性皮膚病,急性周邊中度疼痛(4-7),4,4
A090701,A09皮膚系統,A0907疑似傳染性皮膚病,急性周邊重度疼痛(8-10),3,3
A090703,A09皮膚系統,A0907疑似傳染性皮膚病,急性周邊輕度疼痛(＜4),5,5
A090704,A09皮膚系統,A0907疑似傳染性皮膚病,疑似傳染性皮膚病，生命徵象正常，無發燒，無疼痛不適,5,5
A090804,A09皮膚系統,A0908發紺,中度呼吸窘迫(＜92%),2,2
A090809,A09皮膚系統,A0908發紺,中樞型發紺,2,2
A090802,A09皮膚系統,A0908發紺,休克,1,1
A090805,A09皮膚系統,A0908發紺,血行動力循環不足,2,2
A090811,A09皮膚系統,A0908發紺,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A090813,A09皮膚系統,A0908發紺,周邊型發紺,3,3
A090801,A09皮膚系統,A0908發紺,重度呼吸窘迫(＜90%),1,1
A080504,A08眼科,A0805眼睛紅/癢,急性周邊輕度疼痛(＜4),5,5
A080505,A08眼科,A0805眼睛紅/癢,眼睛紅癢，生命徵象正常，無發燒，無疼痛不適,5,5
A080602,A08眼科,A0806畏光/光傷害,急性中樞中度疼痛(4-7),3,3
A080601,A08眼科,A0806畏光/光傷害,急性中樞重度疼痛(8-10),2,2
A080603,A08眼科,A0806畏光/光傷害,急性中樞輕度疼痛(＜4),4,4
A080701,A08眼科,A0807複視*假如懷疑腦中風，請選擇A0408肢體無力,急性發作,3,3
A080702,A08眼科,A0807複視*假如懷疑腦中風，請選擇A0408肢體無力,慢性複視，生命徵象正常，無發燒，無疼痛不適,4,4
A080801,A08眼科,A0808眼眶腫脹,中度呼吸窘迫(＜92%),2,2
A080807,A08眼科,A0808眼眶腫脹,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A080812,A08眼科,A0808眼眶腫脹,急性周邊中度疼痛(4-7),4,4
A080810,A08眼科,A0808眼眶腫脹,急性周邊重度疼痛(8-10),3,3
A080813,A08眼科,A0808眼眶腫脹,急性周邊輕度疼痛(＜4),5,5
A080809,A08眼科,A0808眼眶腫脹,眼眶周圍區域蜂窩性組織炎,3,3
A080814,A08眼科,A0808眼眶腫脹,眼眶輕微腫脹，生命徵象正常，無發燒，無疼痛不適,5,5
A080804,A08眼科,A0808眼眶腫脹,發燒(免疫功能缺陷),2,2
A080808,A08眼科,A0808眼眶腫脹,發燒(看起來有病容),3,3
A080811,A08眼科,A0808眼眶腫脹,發燒(看起來無病容),4,4
A080803,A08眼科,A0808眼眶腫脹,意識程度改變(GCS9-13),2,2
A080806,A08眼科,A0808眼眶腫脹,輕度呼吸窘迫(92-94%),3,3
A100518,A10婦產科,A1005陰道出血,可能懷孕,3,3
A080903,A08眼科,A0809眼睛複檢,急性周邊中度疼痛(4-7),4,4
A080902,A08眼科,A0809眼睛複檢,急性周邊重度疼痛(8-10),3,3
A080904,A08眼科,A0809眼睛複檢,急性周邊輕度疼痛(＜4),5,5
A080901,A08眼科,A0809眼睛複檢,急性或突發性視覺改變,2,2
A080905,A08眼科,A0809眼睛複檢,眼睛複檢，生命徵象正常，無發燒，無疼痛不適,5,5
A081001,A08眼科,A0810化學物質暴露眼睛,化學物質濺入眼睛，造成傷害,2,2
A090102,A09皮膚系統,A0901血液體液曝露,低危險性暴露,3,3
A090101,A09皮膚系統,A0901血液體液曝露,高危險性暴露,2,2
A090202,A09皮膚系統,A0902搔癢,急性周邊中度疼痛(4-7),4,4
A090201,A09皮膚系統,A0902搔癢,急性周邊重度疼痛(8-10),3,3
A090203,A09皮膚系統,A0902搔癢,急性周邊輕度疼痛(＜4),5,5
A090204,A09皮膚系統,A0902搔癢,搔癢，生命徵象正常，無發燒，無疼痛不適,5,5
A090301,A09皮膚系統,A0903紅疹,中度呼吸窘迫(＜92%),2,2
A090302,A09皮膚系統,A0903紅疹,血行動力循環不足,2,2
A090310,A09皮膚系統,A0903紅疹,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A090315,A09皮膚系統,A0903紅疹,局部性紅疹(過敏反應）,4,4
A090317,A09皮膚系統,A0903紅疹,局部性紅疹，非過敏反應，生命徵象正常，無發燒，無疼痛不適,5,5
A090314,A09皮膚系統,A0903紅疹,急性周邊中度疼痛(4-7),4,4
A090312,A09皮膚系統,A0903紅疹,急性周邊重度疼痛(8-10),3,3
A090316,A09皮膚系統,A0903紅疹,急性周邊輕度疼痛(＜4),5,5
A090304,A09皮膚系統,A0903紅疹,發燒(免疫功能缺陷),2,2
A090311,A09皮膚系統,A0903紅疹,發燒(看起來有病容),3,3
A090313,A09皮膚系統,A0903紅疹,發燒(看起來無病容),4,4
A090305,A09皮膚系統,A0903紅疹,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A090306,A09皮膚系統,A0903紅疹,紫斑或瘀斑，病容明顯,2,2
A090303,A09皮膚系統,A0903紅疹,意識程度改變(GCS9-13),2,2
A090309,A09皮膚系統,A0903紅疹,輕度呼吸窘迫(92-94%),3,3
A090308,A09皮膚系統,A0903紅疹,廣泛性紅疹,3,3
A130518,A13一般和其他,A1305轉診,急性周邊中度疼痛(4-7),4,4
A130515,A13一般和其他,A1305轉診,急性周邊重度疼痛(8-10),3,3
A130519,A13一般和其他,A1305轉診,急性周邊輕度疼痛(＜4),5,5
A130501,A13一般和其他,A1305轉診,重度呼吸窘迫(＜90%),1,1
A130503,A13一般和其他,A1305轉診,無意識(GCS3-8),1,1
A130508,A13一般和其他,A1305轉診,發燒(免疫功能缺陷),2,2
A130513,A13一般和其他,A1305轉診,發燒(看起來有病容),3,3
A130516,A13一般和其他,A1305轉診,發燒(看起來無病容),4,4
A130509,A13一般和其他,A1305轉診,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A130507,A13一般和其他,A1305轉診,意識程度改變(GCS9-13),2,2
A130511,A13一般和其他,A1305轉診,輕度呼吸窘迫(92-94%),3,3
A130520,A13一般和其他,A1305轉診,轉診，生命徵象正常，無發燒，無疼痛不適,5,5
A130504,A13一般和其他,A1305轉診,轉診病人已插有氣管內管/胸管,1,1
A130602,A13一般和其他,A1306換藥,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A130606,A13一般和其他,A1306換藥,急性周邊中度疼痛(4-7),4,4
A130604,A13一般和其他,A1306換藥,急性周邊重度疼痛(8-10),3,3
A130607,A13一般和其他,A1306換藥,急性周邊輕度疼痛(＜4),5,5
A120204,A12物質誤用,A1202物質戒斷,持續抽搐,1,1
A120201,A12物質誤用,A1202物質戒斷,重度呼吸窘迫(＜90%),1,1
A120212,A12物質誤用,A1202物質戒斷,重度焦慮/激動,2,2
A120210,A12物質誤用,A1202物質戒斷,剛發生的抽搐/發作後/激動,2,2
A120203,A12物質誤用,A1202物質戒斷,無意識(GCS3-8),1,1
A120208,A12物質誤用,A1202物質戒斷,發燒(免疫功能缺陷),2,2
A120215,A12物質誤用,A1202物質戒斷,發燒(看起來有病容),3,3
A110401,A11心理健康,A1104失眠,急性失眠,4,4
A120217,A12物質誤用,A1202物質戒斷,發燒(看起來無病容),4,4
A120209,A12物質誤用,A1202物質戒斷,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A120207,A12物質誤用,A1202物質戒斷,意識程度改變(GCS9-13),2,2
A120213,A12物質誤用,A1202物質戒斷,輕度呼吸窘迫(92-94%),3,3
A120218,A12物質誤用,A1202物質戒斷,輕度焦慮/激動,4,4
A120316,A12物質誤用,A1203藥物過量攝取,已知低危險性物質＜4小時,3,3
A120318,A12物質誤用,A1203藥物過量攝取,已知低危險性物質＞4小時，生命徵象正常，無發燒，無疼痛不適,4,4
A120311,A12物質誤用,A1203藥物過量攝取,不穩定的想法或做出可能危害自身或他人安全的行為,2,2
A120304,A12物質誤用,A1203藥物過量攝取,中度呼吸窘迫(＜92%),2,2
A120302,A12物質誤用,A1203藥物過量攝取,休克,1,1
A120310,A12物質誤用,A1203藥物過量攝取,企圖自殺或者有明確的計畫,2,2
A120315,A12物質誤用,A1203藥物過量攝取,有自殺的想法，但不一定有計畫,3,3
A120305,A12物質誤用,A1203藥物過量攝取,血行動力循環不足,2,2
A120313,A12物質誤用,A1203藥物過量攝取,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A120301,A12物質誤用,A1203藥物過量攝取,重度呼吸窘迫(＜90%),1,1
A120309,A12物質誤用,A1203藥物過量攝取,高危險性物質/不明物質,2,2
A120303,A12物質誤用,A1203藥物過量攝取,無意識(GCS3-8),1,1
A120307,A12物質誤用,A1203藥物過量攝取,發燒(免疫功能缺陷),2,2
A120314,A12物質誤用,A1203藥物過量攝取,發燒(看起來有病容),3,3
A120317,A12物質誤用,A1203藥物過量攝取,發燒(看起來無病容),4,4
A120308,A12物質誤用,A1203藥物過量攝取,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A120306,A12物質誤用,A1203藥物過量攝取,意識程度改變(GCS9-13),2,2
A120312,A12物質誤用,A1203藥物過量攝取,輕度呼吸窘迫(92-94%),3,3
A130101,A13一般和其他,A1301暴露於傳染性疾病,暴露於傳染性疾病(無症狀)，生命徵象正常，無發燒，無疼痛不適,5,5
A130205,A13一般和其他,A1302發燒/畏寒,中度呼吸窘迫(＜92%),2,2
A130204,A13一般和其他,A1302發燒/畏寒,中樞體溫＞41℃,1,1
A130202,A13一般和其他,A1302發燒/畏寒,休克,1,1
A130206,A13一般和其他,A1302發燒/畏寒,血行動力循環不足,2,2
A130212,A13一般和其他,A1302發燒/畏寒,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A130201,A13一般和其他,A1302發燒/畏寒,重度呼吸窘迫(＜90%),1,1
A130203,A13一般和其他,A1302發燒/畏寒,無意識(GCS3-8),1,1
A130208,A13一般和其他,A1302發燒/畏寒,發燒(免疫功能缺陷),2,2
A130213,A13一般和其他,A1302發燒/畏寒,發燒(看起來有病容),3,3
A130214,A13一般和其他,A1302發燒/畏寒,發燒(看起來無病容),4,4
A130209,A13一般和其他,A1302發燒/畏寒,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A130210,A13一般和其他,A1302發燒/畏寒,紫斑或瘀斑，病容明顯,2,2
A130207,A13一般和其他,A1302發燒/畏寒,意識程度改變(GCS9-13),2,2
A130211,A13一般和其他,A1302發燒/畏寒,輕度呼吸窘迫(92-94%),3,3
A130313,A13一般和其他,A1303高血糖,＞324mg/dl，無症狀,3,3
A110315,A11心理健康,A1103幻覺/妄想,慢性幻想，生命徵象正常，無發燒，無疼痛不適,5,5
A110309,A11心理健康,A1103幻覺/妄想,輕度呼吸窘迫(92-94%),3,3
A110314,A11心理健康,A1103幻覺/妄想,輕微激動,穩定,4,4
A110402,A11心理健康,A1104失眠,慢性失眠,5,5
A110502,A11心理健康,A1105暴力行為/自傷/傷害他人,不穩定的想法或做出可能危害自身或他人安全的行為,2,2
A110503,A11心理健康,A1105暴力行為/自傷/傷害他人,有使用暴力/傷害他人的念頭，但不一定有計畫,3,3
A110501,A11心理健康,A1105暴力行為/自傷/傷害他人,即將傷害自己或他人；有明確的計畫,1,1
A110602,A11心理健康,A1106社會/社交問題,沒有能力應付或處理,4,4
A110601,A11心理健康,A1106社會/社交問題,身體或心理上的虐待，嚴重的情緒壓力,3,3
A110603,A11心理健康,A1106社會/社交問題,慢性非緊急的狀況，生命徵象正常，無發燒，無疼痛不適,5,5
A110707,A11心理健康,A1107怪異行為,不穩定的想法或做出可能危害自身或他人安全的行為,2,2
A110702,A11心理健康,A1107怪異行為,中度呼吸窘迫(＜92%),2,2
A110711,A11心理健康,A1107怪異行為,可以控制的行為,3,3
A110703,A11心理健康,A1107怪異行為,血行動力循環不足,2,2
A110709,A11心理健康,A1107怪異行為,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A110701,A11心理健康,A1107怪異行為,無法控制的行為,1,1
A110713,A11心理健康,A1107怪異行為,無害的行為,4,4
A110705,A11心理健康,A1107怪異行為,發燒(免疫功能缺陷),2,2
A110710,A11心理健康,A1107怪異行為,發燒(看起來有病容),3,3
A110712,A11心理健康,A1107怪異行為,發燒(看起來無病容),4,4
A110706,A11心理健康,A1107怪異行為,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A110704,A11心理健康,A1107怪異行為,意識程度改變(GCS9-13),2,2
A110714,A11心理健康,A1107怪異行為,慢性非緊急的狀況，生命徵象正常，無發燒，無疼痛不適,5,5
A110708,A11心理健康,A1107怪異行為,輕度呼吸窘迫(92-94%),3,3
A120114,A12物質誤用,A1201物質誤用/中毒,已知低危險性物質＜4小時,3,3
A120116,A12物質誤用,A1201物質誤用/中毒,已知低危險性物質＞4小時，生命徵象正常，無發燒，無疼痛不適,4,4
A120110,A12物質誤用,A1201物質誤用/中毒,不穩定的想法或做出可能危害自身或他人安全的行為,2,2
A120104,A12物質誤用,A1201物質誤用/中毒,中度呼吸窘迫(＜92%),2,2
A120102,A12物質誤用,A1201物質誤用/中毒,休克,1,1
A120105,A12物質誤用,A1201物質誤用/中毒,血行動力循環不足,2,2
A120112,A12物質誤用,A1201物質誤用/中毒,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A120101,A12物質誤用,A1201物質誤用/中毒,重度呼吸窘迫(＜90%),1,1
A120109,A12物質誤用,A1201物質誤用/中毒,高危險性物質/不明物質,2,2
A120103,A12物質誤用,A1201物質誤用/中毒,無意識(GCS3-8),1,1
A120107,A12物質誤用,A1201物質誤用/中毒,發燒(免疫功能缺陷),2,2
A120113,A12物質誤用,A1201物質誤用/中毒,發燒(看起來有病容),3,3
A120115,A12物質誤用,A1201物質誤用/中毒,發燒(看起來無病容),4,4
A120108,A12物質誤用,A1201物質誤用/中毒,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A120106,A12物質誤用,A1201物質誤用/中毒,意識程度改變(GCS9-13),2,2
A120111,A12物質誤用,A1201物質誤用/中毒,輕度呼吸窘迫(92-94%),3,3
A120211,A12物質誤用,A1202物質戒斷,不穩定的想法或做出可能危害自身或他人安全的行為,2,2
A120205,A12物質誤用,A1202物質戒斷,中度呼吸窘迫(＜92%),2,2
A120216,A12物質誤用,A1202物質戒斷,中度焦慮/激動,3,3
A120202,A12物質誤用,A1202物質戒斷,休克,1,1
A120206,A12物質誤用,A1202物質戒斷,血行動力循環不足,2,2
A120214,A12物質誤用,A1202物質戒斷,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A100919,A10婦產科,A1009懷孕問題小於20週,急性中樞輕度疼痛(＜4),4,4
A100920,A10婦產科,A1009懷孕問題小於20週,陰道出血-少量/點狀，生命徵象正常，無發燒，無疼痛不適,4,4
A100903,A10婦產科,A1009懷孕問題小於20週,無意識(GCS3-8),1,1
A100907,A10婦產科,A1009懷孕問題小於20週,發燒(免疫功能缺陷),2,2
A100914,A10婦產科,A1009懷孕問題小於20週,發燒(看起來有病容),3,3
A100918,A10婦產科,A1009懷孕問題小於20週,發燒(看起來無病容),4,4
A100908,A10婦產科,A1009懷孕問題小於20週,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A101011,A10婦產科,A1010產後出血,大量陰道出血,2,2
A100906,A10婦產科,A1009懷孕問題小於20週,意識程度改變(GCS9-13),2,2
A100912,A10婦產科,A1009懷孕問題小於20週,輕度呼吸窘迫(92-94%),3,3
A100916,A10婦產科,A1009懷孕問題小於20週,凝血異常-中度或輕度的出血,3,3
A100910,A10婦產科,A1009懷孕問題小於20週,凝血異常-危及生命或肢體的出血,2,2
A101004,A10婦產科,A1010產後出血,中度呼吸窘迫(＜92%),2,2
A101002,A10婦產科,A1010產後出血,休克,1,1
A101005,A10婦產科,A1010產後出血,血行動力循環不足,2,2
A101013,A10婦產科,A1010產後出血,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A101015,A10婦產科,A1010產後出血,急性中樞中度疼痛(4-7),3,3
A101009,A10婦產科,A1010產後出血,急性中樞重度疼痛(8-10),2,2
A101001,A10婦產科,A1010產後出血,重度呼吸窘迫(＜90%),1,1
A101017,A10婦產科,A1010產後出血,產後出血，生命徵象正常,3,3
A101003,A10婦產科,A1010產後出血,無意識(GCS3-8),1,1
A101007,A10婦產科,A1010產後出血,發燒(免疫功能缺陷),2,2
A101014,A10婦產科,A1010產後出血,發燒(看起來有病容),3,3
A101008,A10婦產科,A1010產後出血,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A101006,A10婦產科,A1010產後出血,意識程度改變(GCS9-13),2,2
A101012,A10婦產科,A1010產後出血,輕度呼吸窘迫(92-94%),3,3
A101016,A10婦產科,A1010產後出血,凝血異常-中度或輕度的出血,3,3
A101010,A10婦產科,A1010產後出血,凝血異常-危及生命或肢體的出血,2,2
A110103,A11心理健康,A1101憂鬱/自殺,不穩定的想法或做出可能危害自身或他人安全的行為,2,2
A110101,A11心理健康,A1101憂鬱/自殺,企圖自殺或者有明確的計畫,2,2
A110104,A11心理健康,A1101憂鬱/自殺,有自殺的想法，但不一定有計畫,3,3
A110102,A11心理健康,A1101憂鬱/自殺,有強烈的自殺意念,2,2
A110105,A11心理健康,A1101憂鬱/自殺,憂鬱感，但不一定有自殺的念頭,4,4
A110202,A11心理健康,A1102焦慮/激動,不穩定的想法或做出可能危害自身或他人安全的行為,2,2
A110203,A11心理健康,A1102焦慮/激動,中度焦慮/激動,3,3
A110201,A11心理健康,A1102焦慮/激動,重度焦慮/激動,2,2
A110204,A11心理健康,A1102焦慮/激動,輕度焦慮/激動,4,4
A110308,A11心理健康,A1103幻覺/妄想,不穩定的想法或做出可能危害自身或他人安全的行為,2,2
A110301,A11心理健康,A1103幻覺/妄想,中度呼吸窘迫(＜92%),2,2
A110312,A11心理健康,A1103幻覺/妄想,中度焦慮/激動或合併被害妄想,3,3
A110302,A11心理健康,A1103幻覺/妄想,血行動力循環不足,2,2
A110310,A11心理健康,A1103幻覺/妄想,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A110306,A11心理健康,A1103幻覺/妄想,急性精神病態,2,2
A110307,A11心理健康,A1103幻覺/妄想,重度焦慮/激動,2,2
A110304,A11心理健康,A1103幻覺/妄想,發燒(免疫功能缺陷),2,2
A110311,A11心理健康,A1103幻覺/妄想,發燒(看起來有病容),3,3
A110313,A11心理健康,A1103幻覺/妄想,發燒(看起來無病容),4,4
A110305,A11心理健康,A1103幻覺/妄想,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A110303,A11心理健康,A1103幻覺/妄想,意識程度改變(GCS9-13),2,2
A100602,A10婦產科,A1006陰唇腫脹,血行動力循環不足,2,2
A100607,A10婦產科,A1006陰唇腫脹,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A100611,A10婦產科,A1006陰唇腫脹,急性周邊中度疼痛(4-7),4,4
A100609,A10婦產科,A1006陰唇腫脹,急性周邊重度疼痛(8-10),3,3
A100612,A10婦產科,A1006陰唇腫脹,急性周邊輕度疼痛(＜4),5,5
A100613,A10婦產科,A1006陰唇腫脹,陰唇腫脹，生命徵象正常，無發燒，無疼痛不適,5,5
A100604,A10婦產科,A1006陰唇腫脹,發燒(免疫功能缺陷),2,2
A100608,A10婦產科,A1006陰唇腫脹,發燒(看起來有病容),3,3
A100610,A10婦產科,A1006陰唇腫脹,發燒(看起來無病容),4,4
A060902,A06泌尿系統,A0609多尿,休克,1,1
A100605,A10婦產科,A1006陰唇腫脹,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A100603,A10婦產科,A1006陰唇腫脹,意識程度改變(GCS9-13),2,2
A100606,A10婦產科,A1006陰唇腫脹,輕度呼吸窘迫(92-94%),3,3
A100702,A10婦產科,A1007陰道疼痛/搔癢,急性周邊中度疼痛(4-7),4,4
A100701,A10婦產科,A1007陰道疼痛/搔癢,急性周邊重度疼痛(8-10),3,3
A100703,A10婦產科,A1007陰道疼痛/搔癢,急性周邊輕度疼痛(＜4),5,5
A100704,A10婦產科,A1007陰道疼痛/搔癢,陰道搔癢，生命徵象正常，無發燒，無疼痛不適,5,5
A100806,A10婦產科,A1008懷孕問題大於20週,中度呼吸窘迫(＜92%),2,2
A100804,A10婦產科,A1008懷孕問題大於20週,可見胎兒先露部位、臍帶脫垂,1,1
A100823,A10婦產科,A1008懷孕問題大於20週,可能破水,3,3
A100802,A10婦產科,A1008懷孕問題大於20週,休克,1,1
A100807,A10婦產科,A1008懷孕問題大於20週,血行動力循環不足,2,2
A100818,A10婦產科,A1008懷孕問題大於20週,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A100814,A10婦產科,A1008懷孕問題大於20週,沒有胎動/沒有胎心音,2,2
A100820,A10婦產科,A1008懷孕問題大於20週,急性中樞中度疼痛(4-7),3,3
A100811,A10婦產科,A1008懷孕問題大於20週,急性中樞重度疼痛(8-10),2,2
A100825,A10婦產科,A1008懷孕問題大於20週,急性中樞輕度疼痛(＜4),4,4
A100813,A10婦產科,A1008懷孕問題大於20週,急產(宮縮≦2分鐘)/已破水,2,2
A100822,A10婦產科,A1008懷孕問題大於20週,急產(宮縮＞2分鐘),3,3
A100801,A10婦產科,A1008懷孕問題大於20週,重度呼吸窘迫(＜90%),1,1
A100816,A10婦產科,A1008懷孕問題大於20週,產後(胎兒已產出),2,2
A100805,A10婦產科,A1008懷孕問題大於20週,第三孕期陰道出血,1,1
A100803,A10婦產科,A1008懷孕問題大於20週,無意識(GCS3-8),1,1
A100809,A10婦產科,A1008懷孕問題大於20週,發燒(免疫功能缺陷),2,2
A100819,A10婦產科,A1008懷孕問題大於20週,發燒(看起來有病容),3,3
A100824,A10婦產科,A1008懷孕問題大於20週,發燒(看起來無病容),4,4
A100810,A10婦產科,A1008懷孕問題大於20週,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A100808,A10婦產科,A1008懷孕問題大於20週,意識程度改變(GCS9-13),2,2
A100817,A10婦產科,A1008懷孕問題大於20週,輕度呼吸窘迫(92-94%),3,3
A100821,A10婦產科,A1008懷孕問題大於20週,凝血異常-中度或輕度的出血,3,3
A100812,A10婦產科,A1008懷孕問題大於20週,凝血異常-危及生命或肢體的出血,2,2
A100815,A10婦產科,A1008懷孕問題大於20週,頭痛+/-水腫+/-腹痛+/-高血壓,2,2
A100911,A10婦產科,A1009懷孕問題小於20週,大量陰道出血,2,2
A100904,A10婦產科,A1009懷孕問題小於20週,中度呼吸窘迫(＜92%),2,2
A100917,A10婦產科,A1009懷孕問題小於20週,中量陰道出血,3,3
A100905,A10婦產科,A1009懷孕問題小於20週,血行動力循環不足,2,2
A100913,A10婦產科,A1009懷孕問題小於20週,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A100915,A10婦產科,A1009懷孕問題小於20週,急性中樞中度疼痛(4-7),3,3
A100909,A10婦產科,A1009懷孕問題小於20週,急性中樞重度疼痛(8-10),2,2
A100202,A10婦產科,A1002陰道內異物,休克,1,1
A100205,A10婦產科,A1002陰道內異物,血行動力循環不足,2,2
A100210,A10婦產科,A1002陰道內異物,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
A100214,A10婦產科,A1002陰道內異物,急性周邊中度疼痛(4-7),4,4
A100212,A10婦產科,A1002陰道內異物,急性周邊重度疼痛(8-10),3,3
A100215,A10婦產科,A1002陰道內異物,急性周邊輕度疼痛(＜4),5,5
A100201,A10婦產科,A1002陰道內異物,重度呼吸窘迫(＜90%),1,1
A100216,A10婦產科,A1002陰道內異物,陰道內異物，生命徵象正常，無發燒，無疼痛不適,5,5
A100203,A10婦產科,A1002陰道內異物,無意識(GCS3-8),1,1
A100211,A10婦產科,A1002陰道內異物,發燒(看起來有病容),3,3
A100207,A10婦產科,A1002陰道內異物,發燒(免疫功能缺陷),2,2
A100213,A10婦產科,A1002陰道內異物,發燒(看起來無病容),4,4
A100208,A10婦產科,A1002陰道內異物,發燒疑似敗血症，伴隨任一徵象(中度呼吸窘迫、血行動力循環不足或意識程度改變)及SIRS的條件≧3,2,2
A100206,A10婦產科,A1002陰道內異物,意識程度改變(GCS9-13),2,2
A100209,A10婦產科,A1002陰道內異物,輕度呼吸窘迫(92-94%),3,3
A100301,A10婦產科,A1003陰道分泌物,中度呼吸窘迫(＜92%),2,2
A100302,A10婦產科,A1003陰道分泌物,血行動力循環不足,2,2
A100307,A10婦產科,A1003陰道分泌物,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
